address,lp_balance,mpx_balance
0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,681515270478982400,28479653254888448000
0x3461e03e15329f64B95264e4FFD7079281ae1e48,88799530467350183936,3710819032902400999424
0x96A6f29ca861B7420c586E070Fbc767E357BA821,123649223367875117056,5167143216436460126208
0xf38b07B8ac72Ad70806E902c2ecFb7EdD36cA3f5,217970035964404531200,9108689582052804132864
0xc01895BF22E746Af53A6d820a3224521CEe0B916,35230601729982889984,1472241877318182371328
0x257bFF71cEeE8e86Ca27d442878f102DE03a2248,50152630133215461376,2095814397542094340096
0xdd97E7Ffb2aE6D44c5B864aa79Cc7FdC3AA97f1F,10701877368510158848,447217795160037851136
0x73051a64044FEa61A6100eB0b55C9087BE32ccA3,84198607753961062400,3518552345410907668480
0xd6a99d49013515e2764330C6319137CAEf8641f6,46643126304660660224,1949156712141006307328
0xBB44A1487619F34344701EdAb18AD46FE9773bC7,128093704903466565632,5352872426792139358208
0x407deB6086F24dFd951eD53107Efde91e7169d6c,2690043273217168637952,112413474767815600766976
0xaA970e6bD6E187492f8327e514c9E8c36c81f11E,783569475265595965440,32744368209086625349632
0xeF627D0C41Bd249a96DAE64249d4360780001F17,4577672969757901824,191295110381537755136
0xbA9B8E4355bD706e88BE4CfD856f8088aA6dDc72,410320533441397391360,17146771351959370727424
0x86e375Ddb712157ED58DdCde6BB5534763B713A0,123622969779517603840,5166046112489555361792
0xd7544C4b2EBC642D18E27Bf166074c7d17002d82,158063336256277905408,6605265067246147862528
0x4DBb951c9C137Adf96e948beEcc63892CB62AA87,240239469228012666880,10039300773031243153408
0x5E0C702d21b49488bdbE0B48631968c41C6646F8,6001184328874412032,250781833083349106688
0xCC5128106e4F57B784fA059B62DaA7381e391307,370031871718275153920,15463159603727234498560
0xe17A3d8399ebc55CC9C6b5719687B70D5fbf44a4,32708283691051704320,1366837426003652640768
0xAf79312EB821871208ac76A80c8E282f8796964e,7090970505651571712,296322606388062978048
0xf99C8873B972b4192e789F55AB954188D0d9A133,2708528857806539325440,113185963752470593142784
0x95e90cc769EdF0cdBe9ff8A45b656D8316977bb2,937341844362168762368,39170319235796848082944
0x72713894bD21D2dea4C8F4eb6D0237af8Fd2feB2,418129453450921115648,17473096151710507728896
0x19145B49fd5e4c345822a4a83Fe5543C5BBB785c,61457504215790231552,2568230655706970718208
0xe5845761e7773976055F2559ca54be41F09d9E88,18519275853219090432,773896899567085420544
0x49a3Aab8EBe80725646937b9E9f6f8b4e9867bfe,36051279939728351232,1506536972174922088448
0xE5EA18E42b4DE48F4d3f517614d85af6f5E00F38,213386403477693661184,8917145431064636817408
0x6E6186D5D11B420B94eFCAAe908a981205a822f2,715439242043900952576,29897292725414986252288
0xEd6686F3daBD9e2F81B67390F7823958701a8E4e,7248595427600759808,302909550681015779328
0xe929e53399F9Ec12f9d48d2aDf258b54D161EEA7,194838263606164422656,8142042341014926000128
0x259eBe52BFf1b7ac25704Bec079F2e8D9c205275,22273526403192586240,930782238057115287552
0x5cA6Bb1104dC37f38370101835D2A87B48E71Aad,15127786009732825088,632170867966824284160
0x9831eE7d1E1fd7721991AF71D49dF56a0FA65538,687007543968174178304,28709168353564463988736
0x187900dFa38f3A9C6A22A8dBE4d5B29006A3D457,48763544689897734144,2037766289919652134912
0x0B997e226B63FdED87673Bc8B43bA24477b8147A,133230729995262902272,5567542148386489630720
0xb06620E620d16B65627568DA15558f2b48bD03eb,41494047683436494848,1733983288937210707968
0x3BF6c60B7D57cfd8875D9aF8c72baED2DE9F16f1,162177026221795278848,6777170920116779483136
0xEB4576fE753DAB07635c0Bb6c8f0A355e1Db5d31,31493169733544771584,1316059364712889712640
0xE1D8Ffc920Dda7995b590e4D76c71d7D2C2945b0,8991820619770101760,375756706377580937216
0x7532A096bE1a39A87aF68e3b27e06dde7065E87F,57756512269231751168,2413570926273409056768
0x887e8b6119B38C60cb03CAb204C0A704c6E0A473,4551787868392205824,190213405035677253632
0x6a5334E6c9352C1b5735969DD439e41BCF9b4dA4,1859593063205078528,77710020493091454976
0x211A81532DcA439F5f044DDA65f1bA363ccA7A12,119390050274301526016,4989157809341657513984
