address,bsc_mpx_balance,bsc_thena_lp_balance,bsc_thena_mpx_balance,bsc_fsmlp_balance,fantom_equalizer_lp_balance,fantom_equalizer_mpx_balance,fantom_fsmlp_balance,fantom_fvm_lp_balance,fantom_fvm_mpx_balance,fantom_mpx_balance,fantom_smpx_balance,total_mpx,vefvm_balance
0x000d774F5fE948c3294F3c09C08E2C0D603374C8,0,0,0,0,0,0,0,0,0,0,13849027166930313674752,13849027166930313674752,73159620576462356480
0x002D931eC1090474018b8711d904b2fFCF408DDf,0,0,0,0,0,0,193467616941614399488,0,0,0,176777177444668768256,176777177444668768256,933852686729660160
0x004AeA42855eAfdfF9e6a6B3950551065Ebf3944,0,0,0,0,0,0,0,0,0,247768674394857792,0,247768674394857792,1308876211373530
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,0,0,0,0,995967785516932005888,1499565296485772296192,0,0,0,81303779807204458496,0,1580869076292976771072,8351184556762784768
0x005B8746ECf646f0F7481accE3280FC6af2B1EA5,0,0,0,0,0,0,0,0,0,814976521209640832,0,814976521209640832,4305239086597755
0x00763A4781dcA60F6C1C123A92b5C914fe03bB31,0,0,0,0,0,0,0,0,0,0,196241737656375574528,196241737656375574528,1036677226143991808
0x0089c97abF56B6122dE5d52d41eDa521F188EB12,0,0,0,0,0,0,0,0,0,50490,0,50490,267
0x009a54BeCF0B33A400E5B69e33cD5318c6849bB6,0,0,0,0,0,0,0,0,0,165043932021743878144,0,165043932021743878144,871870009323881984
0x00E77b60b2B6536b8d4Eef078141A3b3F0f1B230,0,0,0,0,0,0,0,0,0,739646061,0,739646061,3907294
0x00aB97c782c661fb3D08C96dce06176938101211,0,0,0,0,0,0,0,0,0,0,41466232764674990080,41466232764674990080,219051765819541984
0x00c29e6d03843906cAB13A411dEf199A359b5AB2,0,0,0,0,0,0,0,0,0,271663577282099168,0,271663577282099168,1435104718825399
0x00ea67d1E6caB97994e75C800bC65bF632598802,0,0,0,0,0,0,1422188321545455665152,0,0,0,7077058814561680883712,7077058814561680883712,37385653983477833728
