address,lp_balance,mpx_balance
0x064cB0bB4c8ABE11935134aEE670C032D6833556,831325,1313033
0x0d7Fce3461404033bd8455Ea445d0C2F9DD138d7,24290845684778,38366086054865
0x1dA29Ca4E330F0Faa816edB6B55B46f9eE453F7f,45340,71612
0x5612B0471864193716d19C85094f773C34a90340,18271233153588574000,28858431385876029440
0x5Db2741169D14AeF22Da0102ca2abe4278BB0Df1,2520015653711099000,3980229370543166464
0x4db24E856f34485BD5ae33E3885cD2e78F6Ad252,125935209,198907898
0x6CCE71D2C9618FE356426e9352F7300286336d3E,525426581022226841600,829883063134535548928
0x149cf981b97557c76bf3964ba71eAeF8Dd18c7e8,49096648355343610000,77545519009530511360
0x9E7DD68a5c9DCC08D595B9a05C051F6c286060B9,3793,5990
0x29173d2cA61813d90B49A1e715BA59eE49377114,5032500349176346836992,7948563997038084096000
0x04Bf5D3c04e9d3b28e51BafdDcd608A28D8873E9,8229,12997
0xe17A3d8399ebc55CC9C6b5719687B70D5fbf44a4,118161,186629
0xbA9B8E4355bD706e88BE4CfD856f8088aA6dDc72,20675039630421882044416,32655114603340949880832
0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,56,88
0xa049AFeF83d112F9B9Ac4E9d743C50aD08EBEe01,380994472088,601760304776
0xad036a7E58dfa18A6511E85D29B0341E16bcBD9b,49745487150,78570325035
0xEB4576fE753DAB07635c0Bb6c8f0A355e1Db5d31,78021591140415,123230912528764
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,995967785516932100000,1573077622034404212736
0x4A3a1F503F664a7DF698355a0fb4A505dEF35A22,991813349922684,1566515914155365
0xc2C53c0216DAf2633f56c4158484eD86B09C5350,7276090601475118465024,11492194293347220717568
0xAde6dc1A778b01660433bF05aFA2beA989Ad50Cd,899862992323621,1421285263143824
0x19145B49fd5e4c345822a4a83Fe5543C5BBB785c,14148,22346
0x8E9a2cEa15733ddC69e1021F78C74B9ABA534674,2662,4204
0x948E422Da3Bd457289C526C8bE6319949411BD5A,139343,220084
0xD9ff18Bf57a664e7F8447E4EB77aa8D5f3245b54,649014590,1025083685
0x741Bc936B183F8bcF807C0204BeE62Fa68eA561f,122585,193616
0xADDADf3Df10bebFFf7201427d50Cc0448e2E6F3a,93420595774000,147552813239764
0x3214e141bdAe08Be1f382A885cf3d2a448A5E780,418761,661410
0x2B7645122c1E6821F919d57038bcA4260D3ADe77,683179135691164200,1079044750065669248
0xE9db81A85fDc1f28239bdcA8D3054ad39F44A8D5,109835,173478
0x3D6991085Ab1ae3926cB96f25684C40a364B6856,5,7
0x6a5334E6c9352C1b5735969DD439e41BCF9b4dA4,7474604337372956,11805736076674334
0x771eB322E757Bbd8b5f480983975629DcfDc0720,880371528,1390499542
0x6A431fdEe149Ee5cD1925B0A6F30bc3e45481083,538889209538398060544,851146561774262550528
0xd6B598C0D187c5d190f12f1034FBa11C300e06fA,507580487012525932544,801696116191455477760
0xe7b87150991634D6b8FdB2DEa037436764680984,199994,315879
0x1a93c570251ec9cE34216AF5EEe618097026bd06,436849546106178,689980394113694
0x28C974C18C6553B445c4B77F35D83F3499ACF58f,100846310268212576,159281330435126368
0x3141ee74Ea97B309F4e6Dce11d7112E8aA8C92A3,893667979980011077632,1411500573892151607296
0x707076fb70def4b49a4765A593E86cd65Cf2feF9,1857780265642826137600,2934264144922162495488
0x28893320E3Ec737271510b92b3eFe948144A396E,14608286048671434752,23073003177020674048
0x0EA55f10FD712d1651949B30AD2178d07E8D24e6,1058753416205519159296,1672244153379863658496
0x1096cB8F6e17dB5a072fa5b19dC4b8F212CB36E3,3610920209417502720000,5703254521870164164608
0x820911F14Bb9594808B3AD2ea84cE90c88461077,1079180029104287645696,1704506891303996620800
0x67629Fe98F8cD29f68Dd0EAAECB7e15e4A4898d9,16397758643597342720,25899379024971153408
0xf740570aB93096D8571DC8286645EFec195D0240,10305753717445866029056,16277384456463779364864
0x9C28561c0c0369dA3D71E4133C6935Ff6ab97653,83467907929842324078592,131833077366367002296320
0x7E8416AD4DE6e12A807BC3A987ae53B0299C96Fb,29965478109890764800,47328863175795531776
0xe0Ba6c4c82376c76386D1Ca2ae2516Ab18882e3C,2566,4053
0x5EDC176305eE01DD0a4379a82c5031E2ee155447,63320724461731414016,100011683219309068288
0xf0754756E71aac7aD2B6497E7006F5E44D68D592,3744070950339204874240,5913558965394426822656
0x6545100189C47BF5bAa3be08B69Cb94Ac7C6f158,183140536288428621824,289260640265767878656
0x8AB0D826Df7081eA99139228e0B38b9054206AcD,315081549296662413312,497654383527330643968
0x0f504b06Bf14f9584bAF9DCBb3CAca645b136bA5,210314367221508112384,332180246670092599296
0xd3b7949c45780Ba6E8E59e8f0A05Af26D12c41bA,44725021793696224378880,70640769663195555037184
0x8C1f48a0DB29aeaB0E0Ca7214C92cf6CCe877279,184731239186743263232,291773070054192480256
0xef6A22aF4F9e13bfdea28f10a1cAc1aB96387Dc7,435480644006790168576,687818286773860827136
0xd7Ca10036C597f01A58369B352da57710943dC46,35670,56340
0x984c5d268B220784E87fbe8EDbb5C6b9F7ba9Fc4,73973379908546970255360,116836980324607421579264
0xc6D3594E3605eeC43ecb479F552F7d21e28C38De,340188010236013248512,537308690068656291840
0x99349957ea9c3c4120751018AB074E79C34e0611,539937963832511168,852803012851367808
0x71AaBeCe380059ad48e943816d8EC479BeA7fB0a,1864497959260513632256,2944874381172105281536
0xEDE00D0267F46e2443B10e75da21d4909C44fAcd,143864121773307297792,227225653144757010432
0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0,272785,430849
0x35D25b8Bf5f72C9e862433805385908DDeBeeBC8,18116675971679009112064,28614316618589205954560
0x6b6cA48DA27304eeEb1D15d355D948f68b852733,16865,26638
0xe5845761e7773976055F2559ca54be41F09d9E88,447904166554264666112,707440573348248944640
0xb2457274a4c86e97bc30C4ee41a7f3359A94B938,1955325136854121,3088331029693013
