address,balance
0x004AeA42855eAfdfF9e6a6B3950551065Ebf3944,247768674394857800
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,81303779807204460000
0x005B8746ECf646f0F7481accE3280FC6af2B1EA5,814976521209640800
0x0089c97abF56B6122dE5d52d41eDa521F188EB12,50490
0x009a54BeCF0B33A400E5B69e33cD5318c6849bB6,165043932021743880000
0x00E77b60b2B6536b8d4Eef078141A3b3F0f1B230,739646061
0x00c29e6d03843906cAB13A411dEf199A359b5AB2,271663577282099140
0x011CE6FE10159B88B27F2711D8Bd696408dd0FB6,742968372178238200000
0x015C0186156b9D3661DdffE2B9c9fF0fD034e484,823717041913944000
0x015Cdff2E472F657E8c34B4e88fc60f16f7610ad,22157841734194586000
0x015a549aAF6827ed9BDe10b05bCBB13AaE5Fc373,460518082524
0x01650a012B91e32A077135Bf7C9881C44b9775a5,100000000000000000
0x01Bc28E036b6e75247Fe8F49f0a8b9410b19d851,1611235090959340
0x01c8c79B950B9992Bc40657811A245f39f2a4FA5,80814
0x0220932AeAF4f446055a5E69adb70ba83Bb46EC5,25
0x029F5cB93F391dd140b03aF7B8D492a17A6A073A,1584975380378492900000
0x02F34f145Bf329ff16EaCd4618439EfA6c00736B,179
0x02Fbd037A4db4a49F8AfB0FF092bD3AD27844307,8705279494936472000
0x02aFE5211cD9731B2E65BFc7857e73BdA234F6D3,50000000000000000000
0x02bEeF83053653914e2a271BeCfE29EdB933E7C4,244467900622751700000
0x02c713A91fDB54ce03f85ff19635FcCB59E50b3e,420429637387545500000
0x0307466115Bc91e1D18Eb43926b5a5dD55910182,330469495180111600
0x03A109DB9ED60291E6107dF4213912D07a127377,20558
0x03bD9bD74cEc295DEA6BBAE0A31394CcEb4cF844,671955325708150300
0x03c01DDA0D1338e221dFD469C870AB21DCF1F95E,2339
0x03d7C4D50dB2fbf8E0DCFA9Efc5ddF31d4D4BB36,4423024018495058
0x040cA8dA9f17f74DA3FeA1dE34fa3CCa19E639c8,72485131544884220
0x0422211c02fef3F623B1dA67A116482B029D8BCa,21707522467921
0x04565450c8938846012D4BF745C2616F3441fd1f,74958074158977380000
0x046fD98Cfd2A3a51875f5a0b6fEea5ABAc442913,26395408392620980000
0x0483fa3eBE9A8F62Ecd6C2028F4B65a38662eEa4,15678243874107398000
0x04eEaadf602411105414727596E956F85216C0C9,11247241797737118000
0x05033d76a7eA9cf1cF86c2d2a78F9A5e21F38B3F,2438826151198619300000
0x0507B3ffe3836aD0f256f3D53b8fa7653e54E2EB,50067383307965500000
0x0540AB3B2Cb40DAD1EF9c19B07eA1D707b78fE47,13959
0x05d2838E962299878BF9e8941dD396de4aa998e5,28989632927401810000
0x05d5a38C1a57AB37BCf04b23667212d1a567164b,565929767051955650
0x060DA8841055677c9320154ab78CD4c86f60CCe9,90063
0x0611D04FB18E5a403F0D6720CA4766fF592f7362,930312150406353300
0x0623e23cBd07ebaDE18036CC708bA0B8CC42E789,25177
0x0649EDf640F8c4a25d556cd3303686b80387c5C4,793503279738873600000
0x064D587434EA8EC97921991dD9060Faa1C099919,86907771195070020
0x0668013B17c9673238B73068d8d49F1153fA9d68,296339648074220900000
0x066bB7c61B4bbe60e08D985a939e51636a6D1F7E,928197673310863600
0x067D8cF17c002BC439968173f3656c9be65Fb38e,312759521589576140000
0x06e3A09796DDF5d29E50f32b9b7C5E583ea47B3d,8582
0x06e8B44333C32df7560490D3E2BfC55e14636372,1232917856951977200
0x0719bAbC6c57aAA9cBf409F640bb56c511105945,5577
0x0737467164f8bB1eF64F006612eDB6035AEA6EfB,153011102305837780000
0x077bA0f2ff4905B97760359e9F3cE3f0997A0B47,341194774381282100000
0x07DfF525f94C778F4D23D1F0dF6c04B5cE1a2ee1,120394746491262100000
0x0849101093FcD6220f0554f055E6B9E9aFf489Fb,110128977965158880
0x0881C74B8CE71a7d73FACdC5b53677e851b19E10,29938
0x08C53a22096cA6AFA745C6f94690495f9ba35f76,81331000987983400
0x08F7de8a4Ca5f4D2842077F36Bf15b840d2ab64c,1836
0x08bf7A88AfccD54dD305eaFE3201bCA9d29f0b6a,3148
0x090F45701dBda2B9a33BEc65746aBeED901bdf63,4591073808249893
0x092cC0BF1b4b0947962d6aC96d0Bb8bC21533406,77607225820730400000
0x0942086a607b12Fe0Dd5467620E6231C354bA175,943471197170490700000
